Inicio del entrenamiento 
Error 0.371292 0.1
Error 0.365756 0.1
Error 0.36031 0.1
Error 0.354975 0.1
Error 0.349765 0.1
Error 0.344692 0.1
Error 0.339762 0.1
Error 0.33498 0.1
Error 0.330344 0.1
Error 0.325854 0.1
Error 0.321506 0.1
Error 0.317298 0.1
Error 0.313224 0.1
Error 0.309281 0.1
Error 0.305463 0.1
Error 0.301767 0.1
Error 0.298186 0.1
Error 0.294717 0.1
Error 0.291356 0.1
Error 0.288097 0.1
Error 0.284937 0.1
Error 0.281872 0.1
Error 0.278897 0.1
Error 0.276009 0.1
Error 0.273204 0.1
Error 0.270479 0.1
Error 0.26783 0.1
Error 0.265255 0.1
Error 0.26275 0.1
Error 0.260313 0.1
Error 0.25794 0.1
Error 0.255629 0.1
Error 0.253378 0.1
Error 0.251184 0.1
Error 0.249046 0.1
Error 0.24696 0.1
Error 0.244926 0.1
Error 0.24294 0.1
Error 0.241002 0.1
Error 0.23911 0.1
Error 0.237262 0.1
Error 0.235456 0.1
Error 0.23369 0.1
Error 0.231965 0.1
Error 0.230278 0.1
Error 0.228627 0.1
Error 0.227012 0.1
Error 0.225432 0.1
Error 0.223886 0.1
Error 0.222371 0.1
Error 0.220888 0.1
Error 0.219436 0.1
Error 0.218013 0.1
Error 0.216618 0.1
Error 0.215251 0.1
Error 0.213912 0.1
Error 0.212598 0.1
Error 0.21131 0.1
Error 0.210046 0.1
Error 0.208807 0.1
Error 0.207591 0.1
Error 0.206397 0.1
Error 0.205226 0.1
Error 0.204076 0.1
Error 0.202948 0.1
Error 0.201839 0.1
Error 0.200751 0.1
Error 0.199682 0.1
Error 0.198632 0.1
Error 0.1976 0.1
Error 0.196587 0.1
Error 0.195591 0.1
Error 0.194612 0.1
Error 0.19365 0.1
Error 0.192705 0.1
Error 0.191775 0.1
Error 0.190861 0.1
Error 0.189962 0.1
Error 0.189078 0.1
Error 0.188209 0.1
Error 0.187354 0.1
Error 0.186512 0.1
Error 0.185685 0.1
Error 0.184871 0.1
Error 0.18407 0.1
Error 0.183282 0.1
Error 0.182506 0.1
Error 0.181742 0.1
Error 0.180991 0.1
Error 0.180251 0.1
Error 0.179522 0.1
Error 0.178805 0.1
Error 0.178099 0.1
Error 0.177404 0.1
Error 0.176719 0.1
Error 0.176045 0.1
Error 0.175381 0.1
Error 0.174727 0.1
Error 0.174082 0.1
Error 0.173447 0.1
Error 0.172822 0.1
Error 0.172205 0.1
Error 0.171598 0.1
Error 0.171 0.1
Error 0.17041 0.1
Error 0.169828 0.1
Error 0.169255 0.1
Error 0.16869 0.1
Error 0.168133 0.1
Error 0.167584 0.1
Error 0.167043 0.1
Error 0.166508 0.1
Error 0.165981 0.1
Error 0.165461 0.1
Error 0.164949 0.1
Error 0.164443 0.1
Error 0.163943 0.1
Error 0.163451 0.1
Error 0.162964 0.1
Error 0.162484 0.1
Error 0.16201 0.1
Error 0.161542 0.1
Error 0.16108 0.1
Error 0.160623 0.1
Error 0.160172 0.1
Error 0.159727 0.1
Error 0.159286 0.1
Error 0.158851 0.1
Error 0.158421 0.1
Error 0.157996 0.1
Error 0.157575 0.1
Error 0.157159 0.1
Error 0.156749 0.1
Error 0.156342 0.1
Error 0.15594 0.1
Error 0.155542 0.1
Error 0.155148 0.1
Error 0.154758 0.1
Error 0.154373 0.1
Error 0.153991 0.1
Error 0.153613 0.1
Error 0.153239 0.1
Error 0.152868 0.1
Error 0.152501 0.1
Error 0.152137 0.1
Error 0.151777 0.1
Error 0.151421 0.1
Error 0.151067 0.1
Error 0.150717 0.1
Error 0.15037 0.1
Error 0.150026 0.1
Error 0.149684 0.1
Error 0.149346 0.1
Error 0.149011 0.1
Error 0.148679 0.1
Error 0.148349 0.1
Error 0.148022 0.1
Error 0.147698 0.1
Error 0.147377 0.1
Error 0.147058 0.1
Error 0.146742 0.1
Error 0.146428 0.1
Error 0.146117 0.1
Error 0.145807 0.1
Error 0.145501 0.1
Error 0.145196 0.1
Error 0.144895 0.1
Error 0.144595 0.1
Error 0.144298 0.1
Error 0.144002 0.1
Error 0.143709 0.1
Error 0.143418 0.1
Error 0.143129 0.1
Error 0.142842 0.1
Error 0.142557 0.1
Error 0.142274 0.1
Error 0.141993 0.1
Error 0.141714 0.1
Error 0.141437 0.1
Error 0.141162 0.1
Error 0.140889 0.1
Error 0.140617 0.1
Error 0.140348 0.1
Error 0.14008 0.1
Error 0.139815 0.1
Error 0.13955 0.1
Error 0.139288 0.1
Error 0.139028 0.1
Error 0.138769 0.1
Error 0.138512 0.1
Error 0.138257 0.1
Error 0.138003 0.1
Error 0.137751 0.1
Error 0.137501 0.1
Error 0.137251 0.1
Error 0.137004 0.1
Error 0.136759 0.1
Error 0.136515 0.1
Error 0.136272 0.1
Error 0.136031 0.1
Error 0.135791 0.1
Error 0.135554 0.1
Error 0.135317 0.1
Error 0.135082 0.1
Error 0.134849 0.1
Error 0.134617 0.1
Error 0.134387 0.1
Error 0.134157 0.1
Error 0.13393 0.1
Error 0.133704 0.1
Error 0.133479 0.1
Error 0.133255 0.1
Error 0.133034 0.1
Error 0.132813 0.1
Error 0.132594 0.1
Error 0.132376 0.1
Error 0.132159 0.1
Error 0.131944 0.1
Error 0.131731 0.1
Error 0.131518 0.1
Error 0.131308 0.1
Error 0.131098 0.1
Error 0.13089 0.1
Error 0.130683 0.1
Error 0.130477 0.1
Error 0.130273 0.1
Error 0.13007 0.1
Error 0.129868 0.1
Error 0.129667 0.1
Error 0.129467 0.1
Error 0.129269 0.1
Error 0.129072 0.1
Error 0.128876 0.1
Error 0.128682 0.1
Error 0.128488 0.1
Error 0.128296 0.1
Error 0.128105 0.1
Error 0.127915 0.1
Error 0.127726 0.1
Error 0.127539 0.1
Error 0.127352 0.1
Error 0.127167 0.1
Error 0.126983 0.1
Error 0.1268 0.1
Error 0.126618 0.1
Error 0.126437 0.1
Error 0.126257 0.1
Error 0.126079 0.1
Error 0.125901 0.1
Error 0.125724 0.1
Error 0.125549 0.1
Error 0.125375 0.1
Error 0.125202 0.1
Error 0.125029 0.1
Error 0.124858 0.1
Error 0.124688 0.1
Error 0.124519 0.1
Error 0.124351 0.1
Error 0.124184 0.1
Error 0.124018 0.1
Error 0.123853 0.1
Error 0.123689 0.1
Error 0.123526 0.1
Error 0.123364 0.1
Error 0.123202 0.1
Error 0.123042 0.1
Error 0.122883 0.1
Error 0.122725 0.1
Error 0.122567 0.1
Error 0.122411 0.1
Error 0.122255 0.1
Error 0.122101 0.1
Error 0.121947 0.1
Error 0.121794 0.1
Error 0.121642 0.1
Error 0.121491 0.1
Error 0.121341 0.1
Error 0.121192 0.1
Error 0.121043 0.1
Error 0.120896 0.1
Error 0.120749 0.1
Error 0.120603 0.1
Error 0.120458 0.1
Error 0.120313 0.1
Error 0.12017 0.1
Error 0.120027 0.1
Error 0.119885 0.1
Error 0.119744 0.1
Error 0.119604 0.1
Error 0.119464 0.1
Error 0.119325 0.1
Error 0.119187 0.1
Error 0.11905 0.1
Error 0.118914 0.1
Error 0.118778 0.1
Error 0.118643 0.1
Error 0.118509 0.1
Error 0.118376 0.1
Error 0.118243 0.1
Error 0.118111 0.1
Error 0.117979 0.1
Error 0.117849 0.1
Error 0.117719 0.1
Error 0.11759 0.1
Error 0.117461 0.1
Error 0.117333 0.1
Error 0.117206 0.1
Error 0.117079 0.1
Error 0.116953 0.1
Error 0.116828 0.1
Error 0.116703 0.1
Error 0.116579 0.1
Error 0.116456 0.1
Error 0.116333 0.1
Error 0.116211 0.1
Error 0.11609 0.1
Error 0.115969 0.1
Error 0.115848 0.1
Error 0.115729 0.1
Error 0.11561 0.1
Error 0.115491 0.1
Error 0.115374 0.1
Error 0.115256 0.1
Error 0.11514 0.1
Error 0.115024 0.1
Error 0.114908 0.1
Error 0.114793 0.1
Error 0.114679 0.1
Error 0.114565 0.1
Error 0.114452 0.1
Error 0.114339 0.1
Error 0.114227 0.1
Error 0.114115 0.1
Error 0.114004 0.1
Error 0.113893 0.1
Error 0.113784 0.1
Error 0.113674 0.1
Error 0.113565 0.1
Error 0.113456 0.1
Error 0.113348 0.1
Error 0.113241 0.1
Error 0.113134 0.1
Error 0.113028 0.1
Error 0.112921 0.1
Error 0.112816 0.1
Error 0.112711 0.1
Error 0.112606 0.1
Error 0.112502 0.1
Error 0.112398 0.1
Error 0.112296 0.1
Error 0.112193 0.1
Error 0.112091 0.1
Error 0.111989 0.1
Error 0.111888 0.1
Error 0.111787 0.1
Error 0.111687 0.1
Error 0.111587 0.1
Error 0.111487 0.1
Error 0.111388 0.1
Error 0.11129 0.1
Error 0.111192 0.1
Error 0.111094 0.1
Error 0.110997 0.1
Error 0.1109 0.1
Error 0.110803 0.1
Error 0.110707 0.1
Error 0.110612 0.1
Error 0.110517 0.1
Error 0.110422 0.1
Error 0.110328 0.1
Error 0.110233 0.1
Error 0.11014 0.1
Error 0.110047 0.1
Error 0.109954 0.1
Error 0.109862 0.1
Error 0.10977 0.1
Error 0.109678 0.1
Error 0.109587 0.1
Error 0.109496 0.1
Error 0.109405 0.1
Error 0.109315 0.1
Error 0.109226 0.1
Error 0.109136 0.1
Error 0.109047 0.1
Error 0.108958 0.1
Error 0.10887 0.1
Error 0.108782 0.1
Error 0.108695 0.1
Error 0.108607 0.1
Error 0.10852 0.1
Error 0.108434 0.1
Error 0.108348 0.1
Error 0.108262 0.1
Error 0.108176 0.1
Error 0.108091 0.1
Error 0.108006 0.1
Error 0.107921 0.1
Error 0.107837 0.1
Error 0.107753 0.1
Error 0.107669 0.1
Error 0.107586 0.1
Error 0.107503 0.1
Error 0.10742 0.1
Error 0.107338 0.1
Error 0.107255 0.1
Error 0.107174 0.1
Error 0.107092 0.1
Error 0.107011 0.1
Error 0.10693 0.1
Error 0.106849 0.1
Error 0.106769 0.1
Error 0.106689 0.1
Error 0.106609 0.1
Error 0.10653 0.1
Error 0.10645 0.1
Error 0.106372 0.1
Error 0.106293 0.1
Error 0.106215 0.1
Error 0.106136 0.1
Error 0.106059 0.1
Error 0.105981 0.1
Error 0.105904 0.1
Error 0.105827 0.1
Error 0.10575 0.1
Error 0.105673 0.1
Error 0.105597 0.1
Error 0.105521 0.1
Error 0.105445 0.1
Error 0.10537 0.1
Error 0.105294 0.1
Error 0.105219 0.1
Error 0.105145 0.1
Error 0.10507 0.1
Error 0.104995 0.1
Error 0.104921 0.1
Error 0.104847 0.1
Error 0.104774 0.1
Error 0.1047 0.1
Error 0.104627 0.1
Error 0.104554 0.1
Error 0.104481 0.1
Error 0.104409 0.1
Error 0.104336 0.1
Error 0.104264 0.1
Error 0.104192 0.1
Error 0.104121 0.1
Error 0.104049 0.1
Error 0.103978 0.1
Error 0.103906 0.1
Error 0.103835 0.1
Error 0.103765 0.1
Error 0.103694 0.1
Error 0.103624 0.1
Error 0.103554 0.1
Error 0.103484 0.1
Error 0.103414 0.1
Error 0.103344 0.1
Error 0.103275 0.1
Error 0.103206 0.1
Error 0.103137 0.1
Error 0.103068 0.1
Error 0.102999 0.1
Error 0.102931 0.1
Error 0.102863 0.1
Error 0.102795 0.1
Error 0.102727 0.1
Error 0.10266 0.1
Error 0.102592 0.1
Error 0.102525 0.1
Error 0.102458 0.1
Error 0.102391 0.1
Error 0.102325 0.1
Error 0.102258 0.1
Error 0.102192 0.1
Error 0.102126 0.1
Error 0.102061 0.1
Error 0.101995 0.1
Error 0.10193 0.1
Error 0.101865 0.1
Error 0.1018 0.1
Error 0.101736 0.1
Error 0.101672 0.1
Error 0.101607 0.1
Error 0.101544 0.1
Error 0.10148 0.1
Error 0.101417 0.1
Error 0.101354 0.1
Error 0.101291 0.1
Error 0.101228 0.1
Error 0.101166 0.1
Error 0.101105 0.1
Error 0.101043 0.1
Error 0.100982 0.1
Error 0.100921 0.1
Error 0.10086 0.1
Error 0.1008 0.1
Error 0.10074 0.1
Error 0.10068 0.1
Error 0.100621 0.1
Error 0.100562 0.1
Error 0.100503 0.1
Error 0.100445 0.1
Error 0.100387 0.1
Error 0.10033 0.1
Error 0.100273 0.1
Error 0.100217 0.1
Error 0.100161 0.1
Error 0.100105 0.1
Error 0.100051 0.1
Meansaje alusivo de fin final 0.0999961 0.1
